name,description,img
nova 9 SE,"Huawei nova 9 SE Android smartphone. Announced Mar 2022. Features 6.78″  display, Snapdragon 680 4G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-9-se.jpg
P50 Pro,"Huawei P50 Pro smartphone. Announced Jul 2021. Features 6.6″  display, Kirin 9000 chipset, 4360 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-p50-pro.jpg
P50E,"Huawei P50E smartphone. Announced Mar 2022. Features 6.5″  display, Snapdragon 778G 4G chipset, 4100 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-p50e.jpg
nova 9,"Huawei nova 9 smartphone. Announced Sep 2021. Features 6.57″  display, Snapdragon 778G 4G chipset, 4300 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-9-5g.jpg
P30 lite,"Huawei P30 lite Android smartphone. Announced Mar 2019. Features 6.15″  display, Kirin 710 chipset, 3340 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-p30-lite-.jpg
Y9 (2019),"Huawei Y9 (2019) Android smartphone. Announced Oct 2018. Features 6.5″  display, Kirin 710 chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-y9-2019-.jpg
P30,"Huawei P30 Android smartphone. Announced Mar 2019. Features 6.1″  display, Kirin 980 chipset, 3650 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-p30.jpg
P30 Pro,"Huawei P30 Pro Android smartphone. Announced Mar 2019. Features 6.47″  display, Kirin 980 chipset, 4200 mAh battery, 512 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-p30-pro.jpg
Mate 20 Pro,"Huawei Mate 20 Pro Android smartphone. Announced Oct 2018. Features 6.39″  display, Kirin 980 chipset, 4200 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-20-pro-1.jpg
P20 Pro,"Huawei P20 Pro Android smartphone. Announced Mar 2018. Features 6.1″  display, Kirin 970 chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/huawei-p20-pro-.jpg
P20 lite,"Huawei P20 lite Android smartphone. Announced Mar 2018. Features 5.84″  display, Kirin 659 chipset, 3000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-p20-lite-.jpg
nova 8i,"Huawei nova 8i Android smartphone. Announced Jul 2021. Features 6.67″  display, Snapdragon 662 chipset, 4300 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8i.jpg
