name,description,img
Galaxy A53 5G,"Samsung Galaxy A53 5G Android smartphone. Announced Mar 2022. Features 6.5″  display, Exynos 1280 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a53-5g-.jpg
Galaxy S22 Ultra 5G,"Samsung Galaxy S22 Ultra 5G Android smartphone. Announced Feb 2022. Features 6.8″  display, Exynos 2200 chipset, 5000 mAh battery, 1024 GB storage, 12 GB RAM, Corning Gorilla Glass Victus+.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s22-ultra-5g.jpg
Galaxy A73 5G,"Samsung Galaxy A73 5G Android smartphone. Announced Mar 2022. Features 6.7″  display, Snapdragon 778G 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a73-5g.jpg
Galaxy A52s 5G,"Samsung Galaxy A52s 5G Android smartphone. Announced Aug 2021. Features 6.5″  display, Snapdragon 778G 5G chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a52s-5g.jpg
Galaxy S20 FE 2022,"Samsung Galaxy S20 FE 2022 Android smartphone. Announced Apr 2022. Features 6.5″  display, Snapdragon 865 5G chipset, 4500 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s20-fe-5g.jpg
Galaxy A13,"Samsung Galaxy A13 Android smartphone. Announced Mar 2022. Features 6.6″  display, Exynos 850 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a13.jpg
Galaxy M53,"Samsung Galaxy M53 Android smartphone. Announced Apr 2022. Features 6.7″  display, MediaTek MT6877 Dimensity 900 5G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m53-5g.jpg
Galaxy S22 5G,"Samsung Galaxy S22 5G Android smartphone. Announced Feb 2022. Features 6.1″  display, Exynos 2200 chipset, 3700 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass Victus+.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s22-5g.jpg
Galaxy A33 5G,"Samsung Galaxy A33 5G Android smartphone. Announced Mar 2022. Features 6.4″  display, Exynos 1280 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a33-5g.jpg
Galaxy S21 FE 5G,"Samsung Galaxy S21 FE 5G Android smartphone. Announced Jan 2022. Features 6.4″  display, Snapdragon 888 5G chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s21-fe-5g.jpg
Galaxy A23,"Samsung Galaxy A23 Android smartphone. Announced Mar 2022. Features 6.6″  display, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a23.jpg
Galaxy A12,"Samsung Galaxy A12 Android smartphone. Announced Nov 2020. Features 6.5″  display, MT6765 Helio P35 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a12-sm-a125.jpg
Galaxy A32,"Samsung Galaxy A32 Android smartphone. Announced Feb 2021. Features 6.4″  display, MT6769V chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a32-4g-new.jpg
Galaxy M33,"Samsung Galaxy M33 Android smartphone. Announced Mar 2022. Features 6.6″  display, Exynos 1280 chipset, 6000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m33.jpg
