name,description,img
Tab 2 A10-70,"Lenovo Tab 2 A10-70 Android tablet. Announced Mar 2015. Features 10.1″  display, MT8732 chipset, 8 MP primary camera, 5 MP front camera, 7000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-2-a10.jpg
Legion Y90,"Lenovo Legion Y90 Android smartphone. Announced Mar 2022. Features 6.92″  display, Snapdragon 8 Gen 1 chipset, 5600 mAh battery, 640 GB storage, 18 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y90.jpg
Legion Y700,"Lenovo Legion Y700 Android tablet. Announced Mar 2022. Features 8.8″  display, Snapdragon 870 5G chipset, 6550 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700.jpg
Tab M10 HD Gen 2,"Lenovo Tab M10 HD Gen 2 Android tablet. Announced Aug 2020. Features 10.1″  display, MT6762 Helio P22T chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-hd-gen2--.jpg
Legion 2 Pro,"Lenovo Legion 2 Pro Android smartphone. Announced Apr 2021. Features 6.92″  display, Snapdragon 888 5G chipset, 5500 mAh battery, 512 GB storage, 18 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-2-pro-phone-duel2-1.jpg
Tab P12 Pro,"Lenovo Tab P12 Pro Android tablet. Announced Sep 2021. Features 12.6″  display, Snapdragon 870 5G chipset, 10200 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p12-pro-.jpg
M10 Plus,"Lenovo M10 Plus Android tablet. Announced Mar 2020. Features 10.3″  display, MT6762 Helio P22T chipset, 7000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-m10-plus.jpg
Tab P11,"Lenovo Tab P11 Android tablet. Announced Jan 2021. Features 11.0″  display, Snapdragon 662 chipset, 7700 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11.jpg
Pad Pro,"Lenovo Pad Pro Android tablet. Announced May 2021. Features 11.5″  display, Snapdragon 870 5G chipset, 8600 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-pad-pro.jpg
Tab M8 (HD),"Lenovo Tab M8 (HD) Android tablet. Announced Sep 2019. Features 8.0″  display, MT6761 Helio A22 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-HD.jpg
Legion Duel 2,"Lenovo Legion Duel 2 Android smartphone. Announced Apr 2021. Features 6.92″  display, Snapdragon 888 5G chipset, 5500 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-2-pro-phone-duel2-1.jpg
Tab P11 Pro,"Lenovo Tab P11 Pro Android tablet. Announced Aug 2020. Features 11.5″  display, Snapdragon 730G chipset, 8600 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro.jpg
Tab P11 Plus,"Lenovo Tab P11 Plus Android tablet. Announced Jun 2021. Features 11.0″  display, MT6785 Helio G90T chipset, 7700 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11.jpg
A6000,"Lenovo A6000 Android smartphone. Announced Jan 2015. Features 5.0″  display, Snapdragon 410 chipset, 8 MP primary camera, 2 MP front camera, 2300 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6000.jpg
Legion Pro,"Lenovo Legion Pro Android smartphone. Announced Jul 2020. Features 6.65″  display, Snapdragon 865 5G+ chipset, 5000 mAh battery, 512 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-.jpg
Tab K10,"Lenovo Tab K10 Android tablet. Announced May 2021. Features 10.3″  display, MT6762 Helio P22T chipset, 7700 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-k10.jpg
K13 Pro,"Lenovo K13 Pro Android smartphone. Announced Sep 2021. Features 6.51″  display, Snapdragon 662 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-k13-pro.jpg
