name,description,img
G8 ThinQ,"LG G8 ThinQ Android smartphone. Announced Feb 2019. Features 6.1″  display, Snapdragon 855 chipset, 3500 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/lg-g8-thinq-r1.jpg
G7 ThinQ,"LG G7 ThinQ Android smartphone. Announced May 2018. Features 6.1″  display, Snapdragon 845 chipset, Dual: 16 MP (f/1.6, 1/3.1″, 1.0µm, OIS) + 16 MP primary camera, 8 MP front camera, 3000 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/lg-g7-thinq-.jpg
V60 ThinQ 5G,"LG V60 ThinQ 5G Android smartphone. Announced Feb 2020. Features 6.8″  display, Snapdragon 865 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/lg-v60-thinq-5g-b.jpg
V50 ThinQ 5G,"LG V50 ThinQ 5G Android smartphone. Announced Feb 2019. Features 6.4″  display, Snapdragon 855 chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/lg-gv50-thinq-.jpg
Velvet 5G,"LG Velvet 5G Android smartphone. Announced May 2020. Features 6.8″  display, Snapdragon 765G 5G chipset, 4300 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-velvet-.jpg
G6,"LG G6 Android smartphone. Announced Feb 2017. Features 5.7″  display, Snapdragon 821 chipset, Dual: 13 MP (f/1.8, 30mm, 1/3″, 1.12µm, 3-axis OIS, PDAF) + 13 MP primary camera, 5 MP front camera, 3300 mAh battery, 128 GB storage, 4 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/lg-g6-new.jpg
W41 Pro,"LG W41 Pro Android smartphone. Announced Feb 2021. Features 6.55″  display, MediaTek MT6765G Helio G35 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-w41-pro.jpg
V30,"LG V30 Android smartphone. Announced Aug 2017. Features 6.0″  display, Snapdragon 835 chipset, Dual: 16 MP (f/1.6, 1µm, 3-axis OIS, PDAF & laser AF) + 13 MP primary camera, 5 MP front camera, 3300 mAh battery, 128 GB storage, 4 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/lg-v30-.jpg
V40 ThinQ,"LG V40 ThinQ Android smartphone. Announced Oct 2018. Features 6.4″  display, Snapdragon 845 chipset, 3300 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/lg-v40-carmine-red.jpg
Wing 5G,"LG Wing 5G Android smartphone. Announced Sep 2020. Features 6.8″  display, Snapdragon 765G 5G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/lg-wing.jpg
